DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.15
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  MV101:1=INT LIT101:1=REAL P101:1=INT 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.15:44818', 'MV101:1=INT', 'LIT101:1=REAL', 'P101:1=INT']
DEBUG: in pre_loop
main loop
Entering while
No attack detected
DEBUG estimated : 0.00000
DEBUG received : 0.52144
DEBUG delta : 0.52144
No attack detected
DEBUG estimated : 0.52358
DEBUG received : 0.45591
DEBUG delta : 0.06768
No attack detected
DEBUG estimated : 0.45591
DEBUG received : 0.33214
DEBUG delta : 0.12377
No attack detected
DEBUG estimated : 0.33032
DEBUG received : 0.39987
DEBUG delta : 0.06955
No attack detected
DEBUG estimated : 0.40021
DEBUG received : 0.40976
DEBUG delta : 0.00955
No attack detected
DEBUG estimated : 0.41009
DEBUG received : 0.55733
DEBUG delta : 0.14724
Connecting to ONOS
Defense time:  0.000834941864014
Intrusion detected!
DEBUG estimated : 0.41009
DEBUG received : 0.55733
DEBUG estimated : 0.41043
DEBUG received : 0.55733
DEBUG estimated : 0.41076
DEBUG received : 0.55733
DEBUG estimated : 0.41109
DEBUG received : 0.55733
DEBUG estimated : 0.41143
DEBUG received : 0.55733
DEBUG estimated : 0.41176
DEBUG received : 0.55733
DEBUG estimated : 0.41209
DEBUG received : 0.55733
DEBUG estimated : 0.41243
DEBUG received : 0.55733
DEBUG estimated : 0.41276
DEBUG received : 0.55733
DEBUG estimated : 0.41309
DEBUG received : 0.55733
DEBUG estimated : 0.41343
DEBUG received : 0.55733
DEBUG estimated : 0.41376
DEBUG received : 0.55733
DEBUG estimated : 0.41409
DEBUG received : 0.55733
DEBUG estimated : 0.41443
DEBUG received : 0.55733
DEBUG estimated : 0.41476
DEBUG received : 0.55733
DEBUG estimated : 0.41509
DEBUG received : 0.55733
DEBUG estimated : 0.41543
DEBUG received : 0.55733
DEBUG estimated : 0.41576
DEBUG received : 0.55733
DEBUG estimated : 0.41609
DEBUG received : 0.55733
DEBUG estimated : 0.41643
DEBUG received : 0.55733
DEBUG estimated : 0.41676
DEBUG received : 0.55733
DEBUG estimated : 0.41709
DEBUG received : 0.55733
DEBUG estimated : 0.41743
DEBUG received : 0.55733
DEBUG estimated : 0.41776
DEBUG received : 0.55733
DEBUG estimated : 0.41809
DEBUG received : 0.55733
DEBUG estimated : 0.41843
DEBUG received : 0.55733
DEBUG estimated : 0.41876
DEBUG received : 0.55733
DEBUG estimated : 0.41909
DEBUG received : 0.55733
DEBUG estimated : 0.41943
DEBUG received : 0.55733
DEBUG estimated : 0.41976
DEBUG received : 0.55733
DEBUG estimated : 0.42009
DEBUG received : 0.55733
DEBUG estimated : 0.42043
DEBUG received : 0.55733
DEBUG estimated : 0.42076
DEBUG received : 0.55733
DEBUG estimated : 0.42109
DEBUG received : 0.55733
DEBUG estimated : 0.42143
DEBUG received : 0.55733
DEBUG estimated : 0.42176
DEBUG received : 0.55733
DEBUG estimated : 0.42209
